incident_id,incident_date,incident_address,incident_city,incident_zip,incident_county
68,2002-02-08,107 south jefferson street,manito,61546,mason
69,2002-02-08,1118 mechanic street,pekin,61554,tazewell
70,2002-02-09,102 south hopkins street,newman,61942,douglas
71,2002-02-09,307 west church street,astoria,61501,fulton
72,2002-02-11,102 west main street,janesville,62435,cumberland
73,2002-02-13,15459 east 1700th road,chrisman,61924,edgar
74,2002-02-15,515 east college street,marion,62959,williamson
75,2002-02-19,2519 grand avenue,granite city,62040,madison
76,2002-02-19,5105 state route 111,pontoon beach,62040,madison
77,2002-02-19,jefferson street,sailor springs,62879,clay
78,2002-02-20,1366 1250th avenue,lincoln,62656,logan
79,2002-02-20,1516 main street,windsor,61957,shelby
80,2002-02-22,360 capital street,pekin,61554,tazewell
81,2002-02-23,1304 south 9th street,pekin,61554,tazewell
82,2002-02-26,16453 north baystown road,marshall,62441,clark
83,2002-02-26,21333 east oak grove road,marshall,62441,clark
84,2002-03-04,401 south heaton street,morrison,61270,whiteside
85,2002-03-07,328 cherry street,quincy,62301,adams
86,2002-03-08,550th street: 1100th avenue,elkhart,62634,logan
87,2002-03-14,609 south howard street,robinson,62454,crawford
88,2002-03-14,5905 east 2100th street,adair,61411,mcdonough
89,2002-03-15,1067 lincoln street,galesburg,61401,knox
90,2002-03-15,18 massie drive,toledo,62468,cumberland
91,2002-03-19,304 gates street,donnellson,62019,montgomery
92,2002-03-20,1103 north cedar street,lewiston,61542,fulton
93,2002-03-20,350 south lincoln street,litchfield,62056,montgomery
94,2002-03-21,209 gurney street,beecher city,62414,effingham
95,2002-03-22,311 south 14th street,quincy,62301,adams
96,2002-03-27,569 north broad street,galesburg,61401,knox
97,2002-03-27,495 west brooks street,galesburg,61401,knox
98,2002-04-01,rr 1: box 10,sumner,62466,lawrence
99,2002-04-08,405 north 4th street,lincoln,62656,logan
100,2002-04-09,112 east 18th street,metropolis,62960,massac
101,2002-04-11,121 north east street,milton,62352,pike
102,2002-04-11,4211 south knapheide landing,quincy,62301,adams
103,2002-04-11,box 147a,pearl,62361,pike
104,2002-04-12,603 south van buren,newton,62448,jasper
105,2002-04-12,3595 humbert road,alton,62002,madison
106,2002-04-12,19 morean street,nilwood,62672,macoupin
107,2002-04-15,1701 robin court,galesburg,61401,knox
108,2002-04-15,215 south morrison avenue,collinsville,62234,madison
109,2002-04-21,1680 grand avenue,galesburg,61401,knox
110,2002-04-26,2413 lakeside drive,quincy,62301,adams
111,2002-05-06,20656 peach street,tremont,61568,tazewell
112,2002-05-07,2413 west 4th street,sterling,61081,whiteside
113,2002-05-10,3615 kelly avenue: room 200,pekin,61554,tazewell
114,2002-05-17,4601 foster lane,iuka,62849,marion
115,2002-05-18,5601 west hivue,peoria,61604,peoria
116,2002-05-23,320 north 15th street,murphysboro,62966,jackson
117,2002-06-03,11508 rinaker lake road,carlinville,62626,macoupin
118,2002-06-04,1005 farnham,galesburg,61401,knox
119,2002-06-06,mobile ranch #25,murphysboro,62966,jackson
120,2002-06-07,rr #1 sox 32a,herod,62947,hardin
121,2002-06-10,1124 reynolds street,madison,62060,madison
122,2002-06-13,107 thornton street apt b.,pekin,61554,tazewell
123,2002-06-14,16446 arrowhead road,danville,61834,vermilion
124,2002-06-14,225 north loren,henning,61848,vermilion
125,2002-06-14,17548 holly road,morrison,61270,whiteside
126,2002-06-19,173 mcdowell,murphysboro,62966,jackson
127,2002-06-22,7914 o'leary road,kinmundy,72854,marion
128,2002-06-22,569 north broad street,galesburg,61401,knox
129,2002-06-27,rr #1 box 78a,griggsville,62340,pike
130,2002-07-01,rr #1 box 186,laclede,62426,fayette
131,2002-07-01,11499 peterville road,havana,62644,mason
132,2002-07-01,1185 north crafford street,bushnell,61422,mcdonough
133,2002-07-03,2825 final drive,highland,62249,madison
134,2002-07-12,1753 east 1950 avenue,oblong,62449,crawford
135,2002-07-15,416 north grant street: apt. 4,danville,61832,vermilion
136,2002-07-16,8 casey street,woodlawn,62898,jefferson
137,2002-07-17,1463 conger street,galesburg,61401,knox
138,2002-07-18,34 east 1310th street,hull,62343,adams
139,2002-07-18,2827 pershing boulevard: lot #11,granite city,62040,madison
140,2002-07-22,lot #4 lake mobil estates,mattoon,61938,coles
141,2002-07-24,2606 west humboldt street,peoria,61605,peoria
142,2002-07-28,5187 england road,salem/kell,62853,marion
143,2002-07-29,201 south stewart street,danville,61832,vermilion
144,2002-08-02,162 blaine avenue,galesburg,61401,knox
145,2002-08-08,1202 charlotte street,pekin,61554,tazewell
146,2002-08-09,rr 1 box 59 c,cowden,62422,shelby
147,2002-08-14,29899 north 1500 east road,el paso,61738,woodford
148,2002-08-14,921 west north 14th street,shelbyville,62565,shelby
149,2002-08-15,104 south washington street,pekin,61554,tazewell
150,2002-08-16,4125 north county road 2300 east,charleston,61920,coles
151,2002-08-16,2325 edison avenue,granite city,62040,madison
152,2002-08-17,406 east 6th street,pana,61882,christian
153,2002-08-18,1126 south 11th street,havana,62644,mason
154,2002-08-20,3217 west chain of rocks road: unit #27,granite city,62040,madison
155,2002-08-22,1463 conger street,galesburg,61401,knox
156,2002-08-26,327 park avenue,pekin,61554,tazewell
157,2002-08-26,rr 4: box 61 a,mt. sterling,62353,brown
158,2002-08-26,1420 west spresser street,taylorville,62568,christian
159,2002-08-27,5 west jefferson street,altamont,62411,effingham
160,2002-08-29,84 east dewitt,mattoon,61938,coles
161,2002-08-30,208 north walnut,arcola,61910,douglas
162,2002-09-01,112 south clark,pana,62557,christian
163,2002-09-04,#21 sherman trailer court,atlanta,61723,logan
164,2002-09-06,5163 quail run road,salem,62881,marion
165,2002-09-09,23241 east 500th avenue,dieterich,62424,effingham
166,2002-09-11,815 south state street,havana,62644,mason
167,2002-09-16,1520 west adams street,springfield,62704,sangamon
168,2002-09-17,2527 east 250 north road,pana,62557,christian
169,2002-09-17,393 1/2 north cedar street,galesburg,61401,knox
170,2002-09-18,7316 white oak road,quincy,62305,adams
171,2002-09-19,1526 mason road,armington,61721,tazewell
172,2002-09-23,111 ferry road,geneseo,61254,whiteside
173,2002-09-23,511 south wesley street,springfield,62703,sangamon
174,2002-09-23,503 forest street,collinsville,62234,madison
175,2002-09-26,421 maxwell street,taylorville,62568,christian
176,2002-10-01,224 adams street,flora,62839,clay
177,2002-10-01,2432 sheridan,granite city,62040,madison
178,2002-10-01,521 north locust street,flora,62839,clay
179,2002-10-02,2660 lincoln avenue,granite city,62040,madison
180,2002-10-09,1415 rhodes street,granite city,62040,madison
181,2002-10-18,508 mansfield road,woosung,61091,ogle
182,2002-10-18,18102 east 3650 north road,rossville,60963,vermilion
183,2002-10-21,2320 east converse street,springfield,62702,sangamon
184,2002-10-22,2673 east 23rd street,granite city,62040,madison
185,2002-10-22,1011 east 6th street,metropolis,62960,massac
186,2002-10-22,310 west 2nd street,pana,62557,christian
187,2002-10-23,200 sherwood drive,pekin,61554,tazewell
188,2002-10-23,801 east esther street,taylorville,62568,christian
189,2002-10-23,2200 knox road,williamsfield,61489,knox
190,2002-10-23,6733 south us highway 45,brookport,62910,massac
191,2002-10-24,712 payson avenue: apt. a,quincy,62310,adams
192,2002-10-24,460 mccords trail,irving,62051,montgomery
193,2002-10-26,1229 summer street,pekin,61554,tazewell
194,2002-10-28,608 north 21st street,mattoon,61938,coles
195,2002-10-30,107 thornton street,pekin,61554,tazewell
196,2002-11-04,206 south burr street,marion,62959,williamson
197,2002-11-05,1508 west gilpin street,taylorville,62568,christian
198,2002-11-06,107 north east street,fairmount,61841,vermilion
199,2002-11-13,121 illinois street lot 7,marshall,62441,clark
200,2002-11-14,1353 1st street,cottage hills,62018,madison
201,2002-11-15,1015 buff street: apt. 2,pekin,61554,tazewell
202,2002-11-18,505 east 3rd street,maquon,61458,knox
203,2002-11-19,1225 west prairie street,taylorville,62568,christian
204,2002-11-20,#26 windsor trailer court,windsor,61957,shelby
205,2002-11-21,1755 camp ground road,anna,62906,union
206,2002-11-21,719 main street,grand tower,62942,jackson
207,2002-11-25,216 west jefferson street,hanover,61041,jodaviess
208,2002-11-26,1420 west spresser street,taylorville,62568,christian
209,2002-11-29,936 east harrison avenue,decatur,62526,macon
210,2002-12-01,514 north 12th street,pekin,61554,tazewell
211,2002-12-02,815 east 15th street,kewanee,61443,henry
212,2002-12-02,17225 east 1500 street,geneseo,61254,henry
213,2002-12-05,1440 walnut street,hamilton,62341,hancock
214,2002-12-09,18127 north county road 1605 east,havana,62644,mason
215,2002-12-09,1601 north bigelow street,peoria,61604,peoria
216,2002-12-09,133 north roosevelt street,north pekin,61554,tazewell
217,2002-12-09,1923 west vandeveer street,taylorville,62568,christian
218,2002-12-10,26 winston road,chatham,62629,sangamon
219,2002-12-12,1316 12th avenue,east moline,61244,rock island
220,2002-12-12,1316 12th avenue,east moline,61244,rock island
221,2002-12-13,2011 gartside street,murphysboro,62966,jackson
222,2002-12-16,922 west adams street,pittsfield,62363,pike
223,2002-12-16,105 north carr street,pana,62557,christian
224,2002-12-19,22300 north fern lake road,dennison,62441,clark
225,2002-12-19,304 nw 4th street,casey,62420,clark
226,2002-12-21,415 market street,pekin,61554,tazewell
227,2002-12-27,6 mobile ranch: #21,murphysboro,62966,jackson
228,2002-12-29,342 ann eliza street: apt. 13,pekin,61554,tazewell
229,2002-12-30,11201 meisenheimer avenue,hillsboro,62041,montgomery
230,2003-01-06,1213 west 9th street,alton,62002,madison
231,2003-01-06,174 north oakdale boulevard,decatur,62522,macon
232,2003-01-07,1412 south 14th street,pekin,61554,tazewell
233,2003-01-13,28870 north 820 east road,potomac,61865,vermilion
234,2003-01-13,15 west kendall street,martinsville,62442,clark
235,2003-01-14,2222 north 15th street,springfield,62702,sangamon
236,2003-01-14,404 sanders street,bethalto,62010,madison
237,2003-01-17,1125 north county road 2250 east,sidney,61877,champaign
238,2003-01-17,1501 north russell street: lot 4,marion,62959,williamson
239,2003-01-20,1660 dutch ridge road,pomona,62975,jackson
240,2003-01-23,13401 east 400th road,west york,62478,clark
241,2003-01-27,922 west adams street,pittsfield,62363,pike
242,2003-01-27,841 west morton avenue: #9,jacksonville,62650,morgan
243,2003-01-29,261 pine street,galesburg,61401,knox
244,2003-01-31,1020 south 17th street,mattoon,61938,coles
245,2003-01-31,530 reynolds drive: lot 119,charleson,61920,coles
246,2003-02-02,249 koch street,pekin,61554,tazewell
247,2003-02-03,2066 14th street,granite city,62040,madison
248,2003-02-04,530 east water street,butler,62015,montgomery
249,2003-02-04,706 columbia street,litchfield,62056,montgomery
250,2003-02-05,rr 2 box 209 d,assumption,62510,shelby
251,2003-02-05,4585 state route 3 north,wolf lake,62998,union
252,2003-02-06,312 south lincoln street,arthur,61911,moultrie
253,2003-02-07,1935 1050th street,mt. pulaski,62548,logan
254,2003-02-07,6 edgewood drive,auburn,62615,sangamon
255,2003-02-07,1000 1525th street,lincoln,62656,logan
256,2003-02-10,1023 north 3000th avenue,mendon,62351,adams
257,2003-02-11,2038 north 6th street: apt. b,madison,62060,madison
258,2003-02-12,305 mountain glen road,cobden,62920,union
259,2003-02-13,18 clay street,griggsville,62340,pike
260,2003-02-13,2540 state route 13: apt. 4,pinckneyville,62274,perry
261,2003-02-15,735 prince street: apt. b,pekin,61554,tazewell
262,2003-02-16,2828 denver street,granite city,62040,madison
263,2003-02-18,608 cooley avenue,savanna,61074,carroll
264,2003-02-19,24441 east eastwood lane,dennison,62441,clark
265,2003-02-19,9947 meredosia road,albany,61230,whiteside
266,2003-02-20,1119 summer street,pekin,61554,tazewell
267,2003-02-21,1415 south 7th street,quincy,62301,adams
268,2003-02-27,503 adams street,donnellson,62019,montgomery
269,2003-02-28,hillcrest trailer court: lot 51,taylorville,62568,christian
270,2003-03-03,19747 northeast frontage road,shorewood,60431,will
271,2003-03-05,475 bluff road: room 105,collinsville,62234,madison
272,2003-03-05,3123 chain of rocks road: lot q,granite city,62040,madison
273,2003-03-05,2666 edwards street,granite city,62040,madison
274,2003-03-07,rr1: box 42-1,hull,62343,pike
275,2003-03-07,71 stone road,waverly,62692,morgan
276,2003-03-10,106 parkview court: apt. 1,pekin,61554,tazewell
277,2003-03-10,14158 first street,midway,61554,tazewell
278,2003-03-12,1627 edison street,granite city,62040,madison
279,2003-03-12,2375 east 400 north road,pana,62557,christian
280,2003-03-12,16 tracy drive,granite city,62040,madison
281,2003-03-12,5 north main street,altamont,62411,effingham
282,2003-03-18,1510 north bigelow street,peoria,61604,peoria
283,2003-03-19,511 rockwell street,kewanee,61443,henry
284,2003-03-20,2645 sweet potato road,dongola,62926,union
285,2003-03-20,3323 state street,quincy,62310,adams
286,2003-03-24,716 birchwood street,flora,62839,clay
287,2003-03-26,10601 south street,lowder,62615,sangamon
288,2003-03-26,590 north state highway 96,sutter,62373,hancock
289,2003-03-26,601 lawndale drive,danville,61832,vermilion
290,2003-03-27,618 poplar street,savanna,61074,carroll
291,2003-03-29,12802 wiseman road,pekin,61554,tazewell
292,2003-03-31,15 iowa street,danville,61832,vermilion
293,2003-04-07,2242 gabbert road,cantrall,62625,sangamon
294,2003-04-07,722 east avenue,rock falls,61071,whiteside
295,2003-04-14,1501 north russell street: lot 2,marion,62959,williamson
296,2003-04-16,921 south 14th street,springfield,62703,sangamon
297,2003-04-17,11 south 14th street,pekin,61554,tazewell
298,2003-04-17,1643 high street,spring bay,61611,woodford
299,2003-04-21,1301 county road 2500 north,thomasboro,61878,champaign
300,2003-04-28,154 south pence street,east alton,62024,madison
301,2003-04-28,2810 buxton avenue,granite city,62040,madison
302,2003-05-02,3101 nortonville blacktop,waverly,62962,morgan
303,2003-05-02,4270 kirkland trail,sorento,62086,montgomery
304,2003-05-02,308 church street,walshville,62091,montgomery
305,2003-05-05,1119 lake street: trailer #26,kewanee,61443,henry
306,2003-05-05,1202 north 11th stret,quincy,62301,adams
307,2003-05-13,338 winter street,pekin,61554,tazewell
308,2003-05-16,5603 hi vue lane,bellevue,61604,peoria
309,2003-05-19,18 washington street,basco,62313,hancock
310,2003-05-20,3008 buxton avenue,granite city,62040,madison
311,2003-05-20,6 church street,westville,61883,vermilion
312,2003-05-22,2801 roosevelt avenue,granite city,62040,madison
313,2003-05-24,1405 ann eliza street apt. 19,pekin,61554,tazewell
314,2003-05-29,7026 bowen road,patoka,62875,marion
315,2003-05-29,1401 hazel street,pekin,61554,tazewell
316,2003-06-04,366 indiana avenue,galesburg,61401,knox
317,2003-06-05,625 broadway street,lewisville,62858,clay
318,2003-06-05,1148 knox county highway 7,wataga,61488,knox
319,2003-06-06,2700 pine street,pekin,61554,tazewell
320,2003-06-19,415 2nd street,pekin,61554,tazewell
321,2003-06-20,125 linden lane,east peoria,61611,tazewell
322,2003-06-21,334 center street,east peoria,61611,tazewell
323,2003-06-21,340 center street,east peoria,61611,tazewell
324,2003-06-25,1001 west main street: apt. e,peoria,61606,peoria
325,2003-06-25,3146 dover lane,galesburg,61401,knox
326,2003-06-30,314 west main street,barry,62312,pike
327,2003-07-03,402 cross street,chambersburg,62323,pike
328,2003-07-03,216 east 2nd street,mackinaw,61755,tazewell
329,2003-07-10,2708 north county road 1500 east,niota,62358,hancock
330,2003-07-10,663 east north street,galesburg,61401,knox
331,2003-07-16,1056 lombard street,galesburg,61401,knox
332,2003-07-18,2500 state street: apt. b,granite city,62040,madison
333,2003-07-18,22160 tullamore road,delavan,61734,tazewell
334,2003-07-18,2409 logan street,granite city,62040,madison
335,2003-07-20,1803 east keys avenue,springfield,62702,sangamon
336,2003-07-25,1519 sara lane: apt. 4,pekin,61554,tazewell
337,2003-07-30,626 maine street,quincy,62301,adams
338,2003-08-03,213 north eisle drive,bellevue,61604,peoria
339,2003-08-06,r. r. 1 box 245,griggsville,62340,pike
340,2003-08-11,17 hannon trailer park,taylorville,62568,christian
341,2003-08-11,513 east vine,taylorville,62568,christian
342,2003-08-18,820 birch place,kewanee,61443,henry
343,2003-08-18,2100 double arch road,walshville,62901,montgomery
344,2003-08-27,2190 knox county road 410 east,henderson,61439,knox
345,2003-08-29,4134 us highway 45,mattoon,61938,coles
346,2003-08-29,407 west park plaza,mattoon,61938,coles
347,2003-08-29,2101 marion street,mattoon,61938,coles
348,2003-09-02,119 story circle,glen carbon,62304,madison
349,2003-09-02,1105 st. louis road,collinsville,62234,madison
350,2003-09-02,rr 4 box 22,shelbyville,62565,shelby
351,2003-09-04,10 webster street,pana,62557,christian
352,2003-09-16,524 washington street,quincy,62301,adams
353,2003-09-25,245 east 5th street,galesburg,61401,knox
354,2003-10-09,499 north oakwood street,oakwood,61858,vermilion
355,2003-10-16,251 north seminary,galesburg,61041,knox
356,2003-10-20,310 west south street,bradford,61421,stark
357,2003-10-20,225 arnold avenue,east peoria,61611,tazewell
358,2003-10-22,222 tenth street,minonk,61760,woodford
359,2003-10-22,650 west 8th street,minonk,61760,woodford
360,2003-10-24,1923 east 1075th street,mendon,62351,adams
361,2003-10-29,7035 kickapoo edwards blacktop,kickapoo,61528,peoria
362,2003-10-30,lot 51 hillcrest trailer court,taylorville,62568,christian
363,2003-11-03,456 lombard street,galesburg,61401,knox
364,2003-11-04,1015 emery street,galesburg,61401,knox
365,2003-11-04,1015 emery street,galesburg,61401,knox
366,2003-11-08,3236 sangamon ave,springfield,62702,sangamon
367,2003-11-08,3313 ping road,auburn,62615,sangamon
368,2003-11-10,218 north limit street,lincoln,62656,logan
369,2003-11-12,2726 west lake avenue,peoria,61615,peoria
370,2003-11-13,900 east esther street,taylorville,62568,christian
371,2003-11-17,25 linco drive,el paso,61738,woodford
372,2003-11-18,2804 north mormon springs road,niota,62358,hancock
373,2003-11-20,900 west main street,el paso,61738,woodford
374,2003-11-22,1406 sheridan,pekin,61554,tazewell
375,2003-11-23,109 thornton ave: apt b,pekin,61554,tazewell
376,2003-12-01,1118 west rich street,taylorville,62568,christian
377,2003-12-02,12677 east 1900th road,marshall,62441,clark
378,2003-12-08,109 south 2nd street,kilbourne,62655,mason
379,2003-12-08,19289 quiver beach road,havana,62644,mason
380,2003-12-09,599 old warsaw road,warsaw,62379,hancock
381,2003-12-15,456 lombard street,galesburg,61401,knox
382,2003-12-16,920 10th street,lacon,61540,marshall
383,2003-12-16,rural route 1: box 20,new canton,62356,pike
384,2003-12-18,207 bowers street apt 10,east peoria,61611,tazewell
385,2003-12-19,509 north 3rd street,mattoon,61938,coles
386,2003-12-30,4992 paradise road,mattoon,61938,coles
387,2003-12-31,300 broadway ave east: room 139,mattoon,61938,coles
388,2004-01-04,2128 northeast jefferson,peoria,61603,peoria
389,2004-01-08,535 north 8th street: rear apartment,quincy,62301,adams
390,2004-01-10,1901 rt. 150 north (henderson street) apt. 16,galesburg,61401,knox
391,2004-01-12,3704 south 6th street,quincy,62305,adams
392,2004-01-12,9699 moline road,erie,61250,whiteside
393,2004-01-12,r.r. 2 box 106 a,barry,62312,pike
394,2004-01-14,2301 west 23rd street,granite city,62040,madison
395,2004-01-14,217 east 13th street,georgetown,61846,vermilion
396,2004-01-20,7 south elm street,martinsville,62442,clark
397,2004-01-21,1406 sheridan road: apt. 1,pekin,61554,tazewell
398,2004-01-21,1643 high street,spring bay,61611,woodford
399,2004-01-23,605 elm street,marshall,62441,clark
400,2004-01-23,7823 king road,kinmundy,62854,marion
401,2004-01-26,2534 cherry street,quincy,62301,adams
402,2004-01-26,1056 lyman street,galesburg,61401,knox
403,2004-01-26,100 cochran road,marion,62959,williamson
404,2004-01-27,r.r. 1 box 101,arthur,61911,moultrie
405,2004-01-27,5158 ross avenue,raymond,62560,montgomery
406,2004-01-29,106 parkview court,pekin,61554,tazewell
407,2004-02-05,r.r.2 box 61,elmira,61483,stark
408,2004-02-05,r.r.2 box 121,toulon,61483,stark
409,2004-02-09,2804 sanford avenue,alton,62002,madison
410,2004-02-11,215 seminole,edwardsville,62025,madison
411,2004-02-13,626 main street: apt a,quincy,62301,adams
412,2004-02-14,1620 east melrose street,springfield,62703,sangamon
413,2004-02-18,502 south main street,georgetown,61846,vermilion
414,2004-02-18,2021 lafayete: apt #1,mattoon,61938,coles
415,2004-02-18,306 main street,grand tower,62942,jackson
416,2004-02-23,2726 west lake: room 121,peoria,61615,peoria
417,2004-02-25,322 south prospect street,waverly,62692,morgan
418,2004-02-27,709 west loucks avenue,peoria,61604,peoria
419,2004-02-27,3115 princeton avenue,collinsville,62234,madison
420,2004-03-01,418 west davie street,anna,62906,union
421,2004-03-03,317 east first street,pana,62557,christian
422,2004-03-08,1056 liman,galesburg,61401,knox
423,2004-03-09,306 main street,grand tower,62942,jackson
424,2004-03-09,26287 north 16th avenue,nokomis,62075,montgomery
425,2004-03-10,104 north 7th,wyoming,61491,stark
426,2004-03-10,17 wilson park drive,granite city,62040,madison
427,2004-03-11,201 west front street,sigel,62462,shelby
428,2004-03-11,1311 maywood,peoria,61604,peoria
429,2004-03-11,411 west jackson,sullivan,61951,moultrie
430,2004-03-12,1114 north 7th street,quincy,62301,adams
431,2004-03-13,411 south adams,johnston city,62951,williamson
432,2004-03-13,501 b timothy,villa grove,61956,douglas
433,2004-03-15,427 north pine,irving,62051,montgomery
434,2004-03-15,2780 herrin road,herrin,62948,williamson
435,2004-03-15,759 cox monument road,pocahontas,62275,bond
436,2004-03-17,5901 north prospect #230,peoria,61614,peoria
437,2004-03-17,120 kentucky street,danville,61832,vermilion
438,2004-03-18,1711 north 17th street,quincy,62301,adams
439,2004-03-19,314 north grant street,litchfield,62056,montgomery
440,2004-03-19,200 indiana avenue,south roxana,62087,madison
441,2004-03-25,1179 knox highway county 8,knoxville,61448,knox
442,2004-03-30,5495 east 1400th road,martinsville,62442,clark
443,2004-04-01,207 north water,west union,62477,clark
444,2004-04-20,17a westview,franklin,62638,morgan
445,2004-04-20,2011 north kickapoo: room 225,lincoln,62656,logan
446,2004-04-21,534 york apartment #a,quincy,62301,adams
447,2004-04-22,14455 hill road,humboldt,61931,coles
448,2004-04-24,r.r.1 box 13 a,gladstone,61437,henderson
449,2004-04-28,1077 east raylots,spaulding,62561,sangamon
450,2004-04-29,204 herget,pekin,61554,tazewell
451,2004-04-29,873 warren street,galesburg,61401,knox
452,2004-04-30,#12 vine street,pana,62557,christian
453,2004-04-30,1516 seven pines suite a,springfield,62704,sangamon
454,2004-05-02,6109 mine avenue,farmersville,62533,montgomery
455,2004-05-02,514 north 5th,pekin,61554,tazewell
456,2004-05-03,8 jamestown circle,riverton,62561,sangamon
457,2004-05-03,565 west main st: room 237,galesburg,61401,knox
458,2004-05-13,110 east north street,galesburg,61401,knox
459,2004-05-14,1800 perrysville road: lot #5,danville,61834,vermilion
460,2004-05-17,226 virginia #6,east alton,62024,madison
461,2004-05-18,415 union street,meredosia,62665,morgan
462,2004-05-19,16 tracey lane,granite city,62040,madison
463,2004-05-19,201 cooper street,pekin,61554,tazewell
464,2004-05-19,117 edds avenue,pekin,61554,tazewell
465,2004-05-20,310 mcnair street,naples,62665,scott
466,2004-05-20,536 south main street: apt. 1,columbia,62236,monroe
467,2004-05-24,505 south mason,mason city,62664,mason
468,2004-05-27,2440 illinois avenue,granite city,62040,madison
469,2004-06-04,801 west vandeveer,taylorville,62568,christian
470,2004-06-07,2913 east 1600 street,loraine,62349,adams
471,2004-06-09,379 east county road 1380 north,sullivan,61951,coles
472,2004-06-15,339 matheny road,east peoria,61661,tazewell
473,2004-06-15,918 east independence avenue,jacksonville,62650,morgan
474,2004-07-02,423 adelia street,springfield,62704,sangamon
475,2004-07-06,30 south 21st street,belleville,62226,st. clair
476,2004-07-09,307 midland street,pekin,61554,tazewell
477,2004-07-14,1935 twist road,franklin grove,61031,lee
478,2004-07-21,1048 south 7th avenue: apt. 4,canton,61520,fulton
479,2004-07-23,rr1 box 73,seaton,61476,henderson
480,2004-07-26,112 west broadway street,west union,62477,clark
